The Kidd Lager,German-Style Schwarzbier,0,0,,Fort Collins Brewery,1900-B East Lincoln Avenue,Fort Collins,Colorado,United States,80524,1-970-472-1499,http://www.fortcollinsbrewery.com
Imperial Stout,American-Style Stout,7,0,,Samuel Smith Old Brewery (Tadcaster),High Street,Tadcaster,North Yorkshire,United Kingdom,,44-(01937)-839201,
Oak-Aged Belgian Tripel,NULL,9,0,,Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,Nebraska,United States,68130,1-402-778-0100,
Ultrablonde,NULL,8,0,,Brasserie d'Ecaussinnes,"rue Restaumont, 118",Ecaussinnes,Hainaut,Belgium,,32-067-/-34-22-77,
Wiesen Edel Weisse,South German-Style Hefeweizen,6.2,0,,Private Weissbierbrauerei G. Schneider & Sohn GmbH,Emil-Ott-Strasse 1-5,Kelheim,,Germany,93309,0 94 41 / 7 05 - 0,http://www.schneider-weisse.de
Old Foghorn 2001,NULL,10,0,,Anchor Brewing,1705 Mariposa Street,San Francisco,California,United States,94107,1-415-863-8350,
Framboise,NULL,6,0,,Brasserie La Choulette,16 rue des Ecoles,Hordain,,France,,33-03.27.35.72.44,
Cow Palace Scotch Ale 1998,Scotch Ale,8.7,0,,Egan Brewing,,De Pere,Wisconsin,United States,,,
Bigfoot 2001,NULL,9.6,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Bigfoot 2002,NULL,9.6,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Bigfoot 2003,NULL,9.6,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Bigfoot 2004,NULL,9.6,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Bigfoot 2005,NULL,9.6,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Winter Ale,Old Ale,5.9,0,,Summit Brewing,910 Montreal Circle,Saint Paul,Minnesota,United States,55102,1-651-265-7800,http://www.summitbrewing.com/
Full Moon Winter Ale,Other Belgian-Style Ales,5.6,0,This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.,Molson Breweries of Canada,175 Bloor Street East,Toronto,Ontario,Canada,0,1-416-975-1786,
Odell IPA,American-Style India Pale Ale,7,0,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.",Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado,United States,80524,1-888-887-2797,
Ornery Amber Lager,American-Style Lager,0,0,Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado,United States,80452,1-303-567-2688,http://www.tommyknocker.com/
Cutthroat Porter,Porter,4.8,0,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities.",Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado,United States,80524,1-888-887-2797,
Maple Nut Brown Ale Ale,American-Style Brown Ale,0,0,Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado,United States,80452,1-303-567-2688,http://www.tommyknocker.com/
Cocoa Porter,NULL,0,0,,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado,United States,80452,1-303-567-2688,http://www.tommyknocker.com/
Jenlain Blonde,NULL,7.5,0,,Brasserie Duyck,"113, rte Nationale",Jenlain,,France,,33-03.27.49.70.03,
Blonde,NULL,7.5,0,,Brasserie La Choulette,16 rue des Ecoles,Hordain,,France,,33-03.27.35.72.44,
Flemish Primitive Wild Ale (Demon Fish),NULL,9,0,,De Proef Brouwerij,Doornzelestraat 20,Lochristi-Hijfte,Oost-Vlaanderen,Belgium,,32-09-/-356.71.02,
Witkap-Pater Tripel,NULL,7.5,0,,Brouwerij Slaghmuylder,Denterhoutembaan 2,Ninove,Oost-Vlaanderen,Belgium,,32-054-33-18-31,
Winter Cheer,American-Style Brown Ale,0,0,,Spanish Peaks Brewing,Polson MT 59860,Polson,Montana,United States,,,http://www.blackdogales.com/
Canaster Winter Scotch,NULL,8.7,0,,Kleinbrouwerij de Glazen Toren,Glazentorenweg 11,Erpe-Mere,Oost-Vlaanderen,Belgium,,32-(0)53-83-68-17,
16,NULL,10,0,,Unibroue,80 Des Carrires,Chambly,Quebec,Canada,,1-450-658-7658,http://www.unibroue.com
Quelque Chose,Belgian-Style Fruit Lambic,8,0,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70ÂºC (160ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts.",Unibroue,80 Des Carrires,Chambly,Quebec,Canada,,1-450-658-7658,http://www.unibroue.com
Kriek,NULL,7,0,,Brouwerij De Ranke,Brugsstraat 43,Wevelgem,West-Vlaanderen,Belgium,,32-056-41-82-41,
BiÃ¨re Darbyste,Light American Wheat Ale or Lager,0,0,,Brasserie de Blaugies,"Rue de la Frontire, 435",Blaugies,Hainaut,Belgium,,32-065-65-03-60,
Maracaibo Especial,American-Style Brown Ale,7.5,0,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!",Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan,United States,48130,1-734-426-4962,http://www.jollypumpkin.com
Flemish Primitive Wild Ale (Pin Head),NULL,9,0,,De Proef Brouwerij,Doornzelestraat 20,Lochristi-Hijfte,Oost-Vlaanderen,Belgium,,32-09-/-356.71.02,
Calabaza Blanca,Other Belgian-Style Ales,4.8,0,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",Jolly Pumpkin Artisan Ales,3115 Broad Street,Dexter,Michigan,United States,48130,1-734-426-4962,http://www.jollypumpkin.com
Porter,Porter,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Cardinal Pale Ale,American-Style Pale Ale,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Zinnebir Xmas,NULL,6.6,0,,Brasserie de la Senne,Victor Nonnemansstraat 40a,Sint-Pieters-Leeuw,Vlaams Brabant,Belgium,,32-0497-/-93.23.75,
Bridal Ale 2005,NULL,0,0,,Pelican Pub & Brewery,33180 Cape Kiwanda Drive,Pacific City,Oregon,United States,97135,1-503-965-7007,http://www.pelicanbrewery.com/
Zinnebir,American-Style Pale Ale,0,0,,Brasserie de la Senne,Victor Nonnemansstraat 40a,Sint-Pieters-Leeuw,Vlaams Brabant,Belgium,,32-0497-/-93.23.75,
Saison Imperiale,NULL,8.5,0,,De Proef Brouwerij,Doornzelestraat 20,Lochristi-Hijfte,Oost-Vlaanderen,Belgium,,32-09-/-356.71.02,
La Moneuse,NULL,8,0,,Brasserie de Blaugies,"Rue de la Frontire, 435",Blaugies,Hainaut,Belgium,,32-065-65-03-60,
Red Sled Winter Ale,NULL,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Christmas Ale 2007,NULL,0,0,,Anchor Brewing,1705 Mariposa Street,San Francisco,California,United States,94107,1-415-863-8350,
Equinox Dark Belgian Winter,NULL,8,0,,Brasserie de la Senne,Victor Nonnemansstraat 40a,Sint-Pieters-Leeuw,Vlaams Brabant,Belgium,,32-0497-/-93.23.75,
Serafijn Christmas Angel,NULL,8,0,,Microbrouwerij Achilles,Dulft 9A,Itegem,Antwerpen,Belgium,,,
Obovoid Empirical Stout,American-Style Imperial Stout,8,0,,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,United States,80301,1-303-444-8448,http://boulderbeer.com/
Furious Beer,American-Style India Pale Ale,6,0,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguing with various agencies, and cutting the water main.",,,,,,,,
Bender Beer,American-Style Brown Ale,5.1,0,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of beer. We add large amounts of American finishing hops to give Bender a citrus hop aroma because... we like hops. This is a session beer weighing in around 5% alcohol and 25 IBUs. Grab one today, we think you will want another!",Surly Brewing,4811 Dusharme Drive,Brooklyn Center,Minnesota,United States,55429,1-763-535-3330,http://www.surlybrewing.com/
Oak Aged Ebenezer,NULL,9.4,0,,Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,Nebraska,United States,68130,1-402-778-0100,
Killer Penguin,American-Style Barley Wine Ale,10,0,,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,United States,80301,1-303-444-8448,http://boulderbeer.com/
Oatmeal Stout,American-Style Stout,0,0,,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado,United States,80204,303-623-2739,http://www.breckbrew.com/
Isolation Ale,Winter Warmer,6,0,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stands alone.",Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado,United States,80524,1-888-887-2797,
Festive Ale 2007,NULL,0,0,,Empyrean Brewing Company,729 Q Street,Lincoln,Nebraska,United States,68508,1-402-434-5959,
Bourbon County Stout 2007,NULL,13,0,,Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois,United States,60612,1-800-466-7363,
Twelve Days,American-Style Stout,5.5,0,,Hook Norton Brewery,Brewery Lane,Hook Norton,Oxford,United Kingdom,,44-(01608)-730384,
Seriously Bad Elf,NULL,9,0,,Ridgeway Brewing,6 Chapel Close,South Stoke,Oxford,United Kingdom,,44-(01491)-873474,
Big Shot Seasonal Ale,Porter,0,0,,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado,United States,80524,1-888-622-4044,http://www.newbelgium.com/
God Jul - Winter Ale,American-Style Stout,8.5,0,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer â just the way we think a Christmas beer should be.",Nøgne,Gamle Rygene Kraftstasjon,Grimstad,Lunde,Norway,,47-37-25-74-00,http://nogne-o.com/
Harvest Ale 2007,American-Style Pale Ale,6.7,0,,Sierra Nevada Brewing Co.,1075 East 20th Street,Chico,California,United States,95928,1-530-893-3520,http://www.sierranevada.com/
Nut Cracker Ale,Winter Warmer,5.9,0,"Nutcracker Ale is Boulevardâs holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the âspicinessâ of freshly harvested Chinook hops.",Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri,United States,64108,1-816-474-7095,http://www.blvdbeer.com/
Goosinator Smoked Doppelbock 2007,American-Style Lager,0,0,,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,United States,80501,1-303-772-0258,http://www.lefthandbrewing.com/
Snow Bound Winter Ale,NULL,8.6,0,,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,United States,80501,1-303-772-0258,http://www.lefthandbrewing.com/
Warrior IPA,American-Style India Pale Ale,6.6,0,,Left Hand Brewing Company,1265 Boston Avenue,Longmont,Colorado,United States,80501,1-303-772-0258,http://www.lefthandbrewing.com/
Petrus Oud Bruin,NULL,5.5,0,,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,,32-56-71-13-79,
Petrus Gouden Tripel Ale,NULL,7.5,0,,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,,32-56-71-13-79,
Petrus Blond Ale,NULL,6.6,0,,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,,32-56-71-13-79,
Petrus Dubbel Bruin Ale,Belgian-Style Dubbel,6.5,0,,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,,32-56-71-13-79,
Petrus Speciale,American-Style Pale Ale,5.5,0,,Brouwerij Bavik - De Brabandere,Rijksweg 33,Bavikhove,West-Vlaanderen,Belgium,,32-56-71-13-79,
Weizengold Hefefein,South German-Style Hefeweizen,5.1,0,"Stiegl Weizengold. It has 12o original gravity; the choicest ingredients and a top fermentation process are responsible for the highest possible quality and an unmistakable flavor. It is brewed according to the classic wheat beer recipe: 60 % wheat malt and 40 % barley malt, top fermentation and in compliance with the Purity Law of 1516.  This fine yeast wheat beer specialty is a refreshing, natural and stimulating beer brand.",Stieglbrauerei zu Salzburg GmbH,Kendlerstra,Salzburg,,Austria,,43-0-662-/-83-87-0,http://www.stieglbrauerei.at/
Never Summer Ale,Winter Warmer,5.94,0,,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,United States,80301,1-303-444-8448,http://boulderbeer.com/
Modern Monks Belgian Blonde,American-Style Pale Ale,0,0,,Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska,United States,68801,1-308-398-2500,
Grand Cru,NULL,0,0,,Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska,United States,68801,1-308-398-2500,
JÃ¶rger WeiÃe Hell,South German-Style Hefeweizen,0,0,,Brauerei Grieskirchen AG,Stadtplatz 14,Grieskirchen,,Austria,,43-0-72-48/607-0,
OSB Premium Ale,NULL,4.5,0,,Tomos Watkin and Sons Ltd.,"Unit 3, Century Park, Valley Way",Swansea,Wales,United Kingdom,,44-(01792)-775333,
Morocco Ale,NULL,5.5,0,,Daleside Brewery,Camwal Road,Harrogate,North Yorkshire,United Kingdom,,44-(01423)-880022,
Glacier Ale,American-Style Amber/Red Ale,0,0,,Red Lodge Ales,417 North Broadway,Red Lodge,Montana,United States,59068,1-406-446-4607,
Bent Nail IPA,American-Style India Pale Ale,0,0,,Red Lodge Ales,417 North Broadway,Red Lodge,Montana,United States,59068,1-406-446-4607,
Espresso Porter,NULL,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Harvest Ale,American-Style Pale Ale,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Stillwater Rye,NULL,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Sharptail Pale Ale,American-Style Pale Ale,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Fat Belly Amber,American-Style Amber/Red Ale,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Whitetail Wheat,American-Style Lager,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Sandbagger Gold,NULL,0,0,,Montana Brewing,113 North Broadway,Billings,Montana,United States,59101,1-406-252-9200,
Brunette Nut Brown Ale,American-Style Brown Ale,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Irish Red,NULL,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Belgian Wit,NULL,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
EOS Hefeweizen,South German-Style Hefeweizen,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
India Pale Ale,American-Style Pale Ale,0,0,,Nebraska Brewing Company,7474 Towne Center Parkway #101,Papillion,Nebraska,United States,68046,1-402-934-7100,
Winter Ale,Old Ale,6.3,0,,St Peter's Brewery,St Peter's Hall,Bungay,Suffolk,United Kingdom,,44-(01986)-782322,
Pride & Joy Mild Ale,English-Style Pale Mild Ale,0,0,,Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana,United States,46321,1-219-922-3565,http://www.threefloydspub.com/
Robert the Bruce Scottish Ale,Scotch Ale,7,0,"A big malty body from chocolate and roasted malts, well balanced with just the right combination of hops. Robust yet smooth, a true malt-lover's delight.",Three Floyds Brewing,9750 Indiana Parkway,Munster,Indiana,United States,46321,1-219-922-3565,http://www.threefloydspub.com/
Lump of Coal Dark Holiday Stout,American-Style Stout,8,0,,Ridgeway Brewing,6 Chapel Close,South Stoke,Oxford,United Kingdom,,44-(01491)-873474,
Warm Welcome Nut Browned Ale,American-Style Brown Ale,6,0,,Ridgeway Brewing,6 Chapel Close,South Stoke,Oxford,United Kingdom,,44-(01491)-873474,
Pendle Witches Brew,American-Style Pale Ale,5.1,0,,Moorhouse's Brewery (Burnley),4 Moorhouse Street,Burnley,Lancashire,United Kingdom,,44-(01282)-422864,
Carnegie Stark-Porter,Porter,5.5,0,,Carlsberg Sverige AB,rstadvgen,Falkenberg,,Sweden,,46-08-757-70-00,
Harvest Ale 2002,Old Ale,11.5,0,,JW Lees and Co (Brewers) Ltd.,Middleton Junction,Manchester,Manchester,United Kingdom,,44-(0161)-6432487,
Woody Organic IPA,American-Style India Pale Ale,6.2,0,,Roots Organic Brewing,1520 SE Seventh Avenue,Portland,Oregon,United States,97214,1-503-235-7668,
Adriaan,NULL,5,0,,Haarlems Biergenootschap Jopen,R Pereboomweg 13 achter,Haarlem,,Netherlands,,31-23-533-41-14,
Leute Bok Bier,Traditional German-Style Bock,7.5,0,,Brouwerij Van Steenberge,Lindenlaan 25,Ertvelde,Oost-Vlaanderen,Belgium,,32-09-344-50-71,
La Folie Falling Rock,NULL,6,0,,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado,United States,80524,1-888-622-4044,http://www.newbelgium.com/
Oak Aged IPA,NULL,6,0,,Upstream Brewing Company at Legacy,17070 Wright Plaza,Omaha,Nebraska,United States,68130,1-402-778-0100,
Tikka Gold,American-Style Pale Ale,5,0,,Brouwerij Van Steenberge,Lindenlaan 25,Ertvelde,Oost-Vlaanderen,Belgium,,32-09-344-50-71,
La Divine Double Blond,NULL,7.5,0,,Brasserie de Silly,Rue Ville Basse 141,Silly,Hainaut,Belgium,,32-068-55-16-95,
La Divine Tripel Amber,NULL,9,0,,Brasserie de Silly,Rue Ville Basse 141,Silly,Hainaut,Belgium,,32-068-55-16-95,
Ename Tripel,NULL,8.5,0,,Brouwerij Roman,Hauwaart 105,Oudenaarde,Oost-Vlaanderen,Belgium,,32-055-45-54-01,
Triple Dipsea Belgian,NULL,9.2,0,,Marin Brewing,1809 Larkspur Landing Circle,Larkspur Landing,California,United States,94939,1-415-461-4677,
Oktoberfest Weizen,NULL,5.7,0,,Privatbrauerei Erdinger Weissbru,Franz-Brombach-Strae 1-20,Erding,Bayern,Germany,,49-(0)8122-/-4090,
Imperial Hefeweizen,NULL,7.5,0,,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California,United States,94710,1-510-528-9880,
Triple Exultation Old Ale,Old Ale,9.7,0,,Eel River Brewing,1777 Alamar Way,Fortuna,California,United States,95540,1-707-725-2739,http://eelriverbrewing.com/
Organic Gingerbread Ale,NULL,6.8,0,,Bison Brewing,2598 Telegraph Avenue,Berkeley,California,United States,94704,1-510-841-7734,
Falcon Pale Ale,American-Style Pale Ale,0,0,,Rock Bottom Restaurant & Brewery - Denver,1001 16th Street #A-100,Denver,Colorado,United States,80202,1-303-534-7616,
Buzzsaw Brown,American-Style Brown Ale,4.8,0,"By 1915, Bend, Oregon, was alive with the sound of the buzz saw, as two of the country's largest pine sawmills set up shop on the banks of the Deschutes River.  The mills are  gone now, but the smokestacks still stand testament to Bend's humble beginnings.",,,,,,,,
Eisenbahn South American Pale Ale (S.A.P.A.),American-Style Pale Ale,0,0,,Cervejaria Sudbrack,"Rua Bahia, 5181",Blumenau,Santa Catarina,Brazil,,55-(47)-3488-7371,http://www.eisenbahn.com.br/
Geist Bock,Traditional German-Style Bock,6.1,0,"This is one of our rare lagers brewed in the style of the German Heiliges Geist Bock, or Holy Ghost Bock. The name refers to the lighter nature of the beer as opposed to the darker and heavier Doppel Bock and Mai Bock also brewed during the spring in Germany. There is a rich malt flavor, a firm German style lager head, and a clean lagered finish to this beer.  Available on draft or in 12 oz. bottles.",Golden Valley Brewery and Pub,980 NE Fourth Street,McMinnville,Oregon,United States,97128,1-503-472-2739,http://www.goldenvalleybrewery.com/
Troll Porter,Porter,0,0,,Hale's Ales #3,4301 Leary Way NW,Seattle,Washington,United States,98107,1-206-706-1544,
Dark Ale,English-Style Pale Mild Ale,4.5,0,"A dark brew full of promise. Coopers Dark Ale is a journey in taste, starting fresh and creamy, and finishing with a lingering coffee flavour.",,,,,,,,
Cinder Cone Red,American-Style Amber/Red Ale,5.4,0,"Cinder Cone Red's diverse selection of hops and barley captivates thirsty palates with its toffee-like flavor, intense citrus aroma and defined bitterness.",,,,,,,,
LTD 02 Lager,Traditional German-Style Bock,6.4,0,,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,United States,97031,1-541-386-2281,
Saison Vielle Provision,NULL,6.5,0,,Brasserie Dupont,Rue Basse 5,Tourpes,Hainaut,Belgium,,32-069-67-10-66,
Organic Barley Wine Ale 2005,NULL,9.5,0,,Bison Brewing,2598 Telegraph Avenue,Berkeley,California,United States,94704,1-510-841-7734,
Old Boardhead 2006,NULL,9,0,,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,United States,97031,1-541-386-2281,
Blue Dot Double India Pale Ale,Imperial or Double India Pale Ale,7,0,,Hair of the Dog Brewing,4509 SE 23rd Avenue,Portland,Oregon,United States,97202,1-503-232-6585,
Nugget,American-Style Amber/Red Ale,0,0,,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,United States,97031,1-541-386-2281,
American Pale Ale,American-Style Pale Ale,0,0,,Spanish Peaks Brewing,Polson MT 59860,Polson,Montana,United States,,,http://www.blackdogales.com/
471 Extra ESB,NULL,7.8,0,,Breckenridge Brewery,471 Kalamath Street,Denver,Colorado,United States,80204,303-623-2739,http://www.breckbrew.com/
Odell Red Ale,American-Style Amber/Red Ale,6.5,0,The Rocky Mountain Goat is no ordinary goat. Just like Odell Red is no ordinary red.,,,,,,,,
Long Leg English Fuggles Hop Ale,NULL,0,0,,Camerons Brewery Company,Lion Brewery,Harltepool,Cleveland,United Kingdom,,44-(01429)-266-666,
Summer Lightning,NULL,5,0,,Hop Back Brewery,Unit 21-24 Batten Road Industrial Estate,Salisbury,Wiltshire,United Kingdom,,44-(01725)-510986,
Haymaker Extra Pale Ale,NULL,0,0,,BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon,United States,97209,1-503-241-7179,http://www.bridgeportbrew.com/
Pale Ale,American-Style Pale Ale,0,0,,Dick's Brewing,5945 Prather Road,Centralia,Washington,United States,98531,1-800-586-7760,
Silk Lady,American-Style Pale Ale,4.4,0,,Dick's Brewing,5945 Prather Road,Centralia,Washington,United States,98531,1-800-586-7760,
Danger Ale,American-Style Brown Ale,5.2,0,,Dick's Brewing,5945 Prather Road,Centralia,Washington,United States,98531,1-800-586-7760,
Irish Style Ale,NULL,5.2,0,,Dick's Brewing,5945 Prather Road,Centralia,Washington,United States,98531,1-800-586-7760,
Yeti Special Export,American-Style Lager,7,0,,Yuksom Breweries,,Malli,Sikkim,India,,91 03595-70205,
Steelie Brown Ale,American-Style Brown Ale,0,0,,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington,United States,98273,1-360-336-2884,
Bond Street 19th Anniversary,NULL,8.7,0,,Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon,United States,97702,1-541-385-8606,http://www.deschutesbrewery.com/
Trumpeter,American-Style Stout,0,0,,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington,United States,98273,1-360-336-2884,
Nitro Porter,Porter,0,0,,Thunderhead Brewery #2,120 East Third Street,Grand Island,Nebraska,United States,68801,1-308-398-2500,
Fourteen,NULL,9.46,0,,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado,United States,80303,1-877-844-5679,http://www.averybrewing.com/
Old Stock Ale 2007,Old Ale,11.7,0,,North Coast Brewing Company,455 North Main Street,Fort Bragg,California,United States,95437,1-707-964-2739,http://www.northcoastbrewing.com/home.htm
Cold Hop,English-Style India Pale Ale,6.5,0,,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,United States,80301,1-303-444-8448,http://boulderbeer.com/
Hitachino Nest Espresso Stout,NULL,7.5,0,,Kiuchi Shuzou Goushi Kaisya,"1257, Kounsosu",Ibaraki,Kanto,Japan,,81-029-298-0105,
Witte,NULL,5,0,,De Struise Brouwers,Woesten,Woesten,West-Vlaanderen,Belgium,,,http://www.struisebrouwers.be/
